Rank,value_class,Elo Rating
1,Privacy,1149.2593692050434
2,Truthfulness,1075.0744148930526
3,Justice,1069.5306658183
4,Respect,1052.9850189618112
5,Equal Treatment,1037.62441192341
6,Protection,1032.4085733994352
7,Wisdom,1014.6133607396629
8,Freedom,1010.7016842594978
9,Professionalism,1008.183029601144
10,Care,1002.3505994296233
11,Cooperation,995.5790211231065
12,Sustainability,946.799528634055
13,Adaptability,926.2049666787367
14,Communication,918.9470674954101
15,Learning,899.2561869502534
16,Creativity,860.482100887461
